delivery_time_min,sla_compliance_pct,rider_earnings_index,operational_cost_index,fleet_mix_json,mean_min_soc,hourly_co2_json,method,scenario,co2_per_order_g
20.703195135177612,100.0,1.0,1.0,"{""petrol_bike"": 1.0}",1.0,"{""0"": 107.72981534703369, ""1"": 108.14052817284417, ""2"": 110.1606123364171, ""3"": 124.57672897121351, ""4"": 114.74488624959544, ""5"": 121.10617260277112, ""6"": 109.58578671224801, ""7"": 118.97600196994456, ""8"": 179.37461381976811, ""9"": 178.54293913117257, ""10"": 166.665653098419, ""11"": 115.74300232285643, ""12"": 119.1544460105728, ""13"": 113.85682232654702, ""14"": 116.41752029647894, ""15"": 120.2395615098988, ""16"": 115.78622970881712, ""17"": 109.476409158285, ""18"": 177.44894934274762, ""19"": 174.9399004813355, ""20"": 179.28279377333945, ""21"": 120.14047297751961, ""22"": 115.08673741011258, ""23"": 113.09426808055325}",Shortest Time Baseline,Standard,130.56662163139623
31.828650709043327,63.2,0.6504578319839147,0.045393824439156745,"{""ev_bike"": 0.508, ""bicycle"": 0.492}",0.7838830941609634,"{""0"": 3.8529851770818624, ""1"": 6.434705879217216, ""2"": 6.311628603597814, ""3"": 5.306871724509943, ""4"": 5.447846416540422, ""5"": 4.818684276072625, ""6"": 3.499079541098749, ""7"": 3.697125059273689, ""8"": 7.950169340531008, ""9"": 9.011506632066949, ""10"": 8.912400198080608, ""11"": 5.9190645257166254, ""12"": 3.615640703785175, ""13"": 5.645509641257275, ""14"": 6.875866517896007, ""15"": 6.087370983722914, ""16"": 5.255500257781561, ""17"": 5.291452619996065, ""18"": 12.13907247704642, ""19"": 3.4516361601956658, ""20"": 7.221992415197822, ""21"": 4.9053414822810115, ""22"": 5.3112684132389765, ""23"": 5.131885294399325}",Emission Weighted Baseline,Standard,5.926918299949406
21.98740517222438,100.0,0.9415933791646752,0.738989484596285,"{""petrol_bike"": 0.714, ""ev_bike"": 0.286}",0.7754117078191403,"{""0"": 81.46803372712546, ""1"": 92.36643297595998, ""2"": 87.108322441018, ""3"": 60.437909822367764, ""4"": 101.52124992934995, ""5"": 94.23996198080106, ""6"": 81.73858169260838, ""7"": 89.04202636109751, ""8"": 92.91119268001616, ""9"": 111.65205711206045, ""10"": 138.52009374006707, ""11"": 94.13967931264584, ""12"": 92.45055749708203, ""13"": 88.8321314979776, ""14"": 80.05405565499389, ""15"": 95.53461820543696, ""16"": 63.44835505871801, ""17"": 73.4059850024696, ""18"": 150.27651661942681, ""19"": 114.97082320178147, ""20"": 156.62916337241592, ""21"": 97.11132859524116, ""22"": 82.57509332600763, ""23"": 94.97427332304635}",CSP Baseline,Standard,96.48736042486365
27.538501904338737,83.39999999999999,0.7517909001402792,0.23628991325310836,"{""ev_bike"": 0.602, ""bicycle"": 0.21, ""petrol_bike"": 0.188}",0.7805022748080522,"{""0"": 14.731943525442913, ""1"": 30.135263917483815, ""2"": 29.520029129971746, ""3"": 15.792896743737524, ""4"": 32.46290650313095, ""5"": 17.730255288186193, ""6"": 24.232478607403134, ""7"": 22.936626202007396, ""8"": 61.93156876953577, ""9"": 39.77132772445735, ""10"": 33.722959356491515, ""11"": 28.02408259297469, ""12"": 12.900790456838463, ""13"": 20.513367569476678, ""14"": 42.33761221081098, ""15"": 33.957299251022256, ""16"": 24.421957234549495, ""17"": 31.706278939794885, ""18"": 35.33139978243822, ""19"": 22.82717251283885, ""20"": 45.41826909010423, ""21"": 31.461534794402944, ""22"": 48.487586157743124, ""23"": 42.25412446701842}",RL Agent (Proposed),Standard,30.851575699034036
24.987175351769395,100.0,1.0,1.0,"{""petrol_bike"": 1.0}",1.0,"{""0"": 137.13240074948493, ""1"": 144.40553197501856, ""2"": 127.76661506933549, ""3"": 140.85047518283656, ""4"": 129.2568553738071, ""5"": 134.81778902600712, ""6"": 140.67111517511537, ""7"": 153.69118185426728, ""8"": 217.5337995023066, ""9"": 206.42584449121858, ""10"": 208.46238694023452, ""11"": 149.20187472948516, ""12"": 138.24341124443512, ""13"": 130.4199718638823, ""14"": 132.1400127234012, ""15"": 127.7925076612694, ""16"": 138.26250673321172, ""17"": 143.36669182015353, ""18"": 195.95135276234626, ""19"": 204.52707862371466, ""20"": 205.48098291840606, ""21"": 139.34272061381836, ""22"": 138.54792541403398, ""23"": 136.76378784075447}",Shortest Time Baseline,Heatwave,155.19019214939283
38.780867400151706,63.6,0.64431708280129,0.04428902715136531,"{""ev_bike"": 0.51, ""bicycle"": 0.49}",0.6597933568637174,"{""0"": 5.915289828415276, ""1"": 3.4810920617667245, ""2"": 8.628952405426979, ""3"": 6.180049343510735, ""4"": 7.9297715789632655, ""5"": 5.437153326201816, ""6"": 7.029863320582457, ""7"": 8.192162632209975, ""8"": 6.948792446059734, ""9"": 10.53669289605323, ""10"": 7.388816466768769, ""11"": 7.545940301641339, ""12"": 6.649999700444777, ""13"": 6.455592059787292, ""14"": 5.41375825015813, ""15"": 5.412432194956685, ""16"": 6.226979451029567, ""17"": 5.501535393080161, ""18"": 9.082077272015185, ""19"": 11.521030552254208, ""20"": 7.717640812097956, ""21"": 6.983784433538732, ""22"": 1.93706111081064, ""23"": 6.833264251281357}",Emission Weighted Baseline,Heatwave,6.873222633730059
26.452147732710962,100.0,0.9446180175710281,0.7172554659102541,"{""petrol_bike"": 0.692, ""ev_bike"": 0.308}",0.657161672873914,"{""0"": 59.91742480038157, ""1"": 91.81829023793742, ""2"": 97.2985004375697, ""3"": 92.08425672226979, ""4"": 109.27057092354352, ""5"": 123.5906016516394, ""6"": 117.581045041842, ""7"": 101.52593077662372, ""8"": 148.32435024785627, ""9"": 176.85719935840984, ""10"": 117.50555383622566, ""11"": 108.21747922978858, ""12"": 102.92363400878124, ""13"": 98.71103367681378, ""14"": 85.86229828647222, ""15"": 103.99472659916549, ""16"": 102.9251158579954, ""17"": 83.42203755912955, ""18"": 121.74838603158348, ""19"": 142.5658445149172, ""20"": 160.869519178679, ""21"": 100.70630782338235, ""22"": 119.91707142217716, ""23"": 102.06623792473226}",CSP Baseline,Heatwave,111.31101357481462
33.08381502067121,83.8,0.7552688629215546,0.25894186327420105,"{""ev_bike"": 0.576, ""petrol_bike"": 0.216, ""bicycle"": 0.208}",0.664883992600894,"{""0"": 48.24437042907324, ""1"": 35.458163684846355, ""2"": 18.309874314930866, ""3"": 40.22837868841823, ""4"": 58.49954367096565, ""5"": 48.927938750922436, ""6"": 44.704934019551445, ""7"": 24.302301032318926, ""8"": 47.008769566484176, ""9"": 48.928349776772635, ""10"": 19.146603193978844, ""11"": 46.595805138670684, ""12"": 28.985080451927168, ""13"": 36.891426026240765, ""14"": 40.25335519356794, ""15"": 43.11110580191286, ""16"": 42.79320312078852, ""17"": 33.9229483688627, ""18"": 56.55696088132239, ""19"": 40.253696639119234, ""20"": 47.025608459947584, ""21"": 21.727225951040985, ""22"": 37.677800834130586, ""23"": 58.352731447697344}",RL Agent (Proposed),Heatwave,40.18523751704507
31.556227176814463,100.0,1.0,1.0,"{""petrol_bike"": 1.0}",1.0,"{""0"": 173.04388254557475, ""1"": 177.36577238716623, ""2"": 168.13463777800283, ""3"": 177.1277671330177, ""4"": 174.19344604128233, ""5"": 167.56558987897165, ""6"": 166.25680094467282, ""7"": 170.7255757949399, ""8"": 259.7842007110514, ""9"": 263.04927152834074, ""10"": 264.88530661655705, ""11"": 166.8686362427628, ""12"": 172.9082716494698, ""13"": 172.31897805990474, ""14"": 171.70826123383088, ""15"": 163.88347495906987, ""16"": 168.3860664167025, ""17"": 168.8712181570106, ""18"": 251.47080466604737, ""19"": 253.36720759938956, ""20"": 264.0380879148446, ""21"": 171.0740745707576, ""22"": 175.64560996724734, ""23"": 157.75499781742693}",Shortest Time Baseline,HighDemand,193.21308751974823
49.09955958332632,61.12500000000001,0.6426987827306422,0.04232599623003166,"{""bicycle"": 0.5125, ""ev_bike"": 0.4875}",0.776375269443341,"{""0"": 9.631521009003738, ""1"": 5.394330953526308, ""2"": 8.561327647459898, ""3"": 8.103336712096553, ""4"": 7.395987737892824, ""5"": 7.065475701423475, ""6"": 5.688758334527738, ""7"": 5.740483238175556, ""8"": 10.418630314629317, ""9"": 7.955717456170142, ""10"": 12.816387367743992, ""11"": 6.23784967335585, ""12"": 7.220715250782256, ""13"": 9.704683814235683, ""14"": 6.217080085940239, ""15"": 7.532063435289444, ""16"": 7.8532122354683525, ""17"": 6.573144257987615, ""18"": 7.686169345877296, ""19"": 10.129103737629855, ""20"": 14.831628857999865, ""21"": 8.511105917821828, ""22"": 7.161849909979209, ""23"": 7.539443851796272}",Emission Weighted Baseline,HighDemand,8.17793641395364
